SCUOLA_ANONIMO,CLASSE_ANONIMO,STUDENTE_ANONIMO,TIPO_SCUOLA,Grado,genere,mese,anno,luogo,regolarità,origine,luogo_padre,luogo_madre,voto_scritto_ita,voto_orale_ita,voto_scritto_mat,voto_orale_mat,voto_scritto_eng,voto_orale_eng,codice_orario,Cod_Reg,Areageo_5,WLE_MAT_200,LIVELLI_WLE_MAT,peso_studente,peso_classe,peso_scuola,ESCS_studente
601,216,19049,4,13,1,6,2,1,3,1,1,9,12,6,12,4,12,5,3,51,2,188.894505303761,2,3.17647058823529,2.17241379310345,1.46218487394958, 
602,219,19050,3,13,1,11,1,1,3,1,1,9,12,5,12,7,12,6,4,51,2,196.348831912053,3,4.19318181818182,1.02272727272727,4.1,-.0555317674972164
1364,772,19051,3,13,1,4,2,1,3,1,1,9,6,6,6,6,6,6,3,15,4,166.608447625965,1,24.8792016806723,1.05357142857143,23.6141575274177,.246937378087969
1364,772,19052,3,13,1,5,2,1,3,1,1,9,6,6,7,7,6,6,3,15,4,180.31689706757,2,24.8792016806723,1.05357142857143,23.6141575274177,-.0555317674972164
1364,772,19053,3,13,1,10,1,4,3,9,9,9,6,6,6,6,6,6,3,15,4,177.021888354159,2,24.8792016806723,1.05357142857143,23.6141575274177,-1.61324322651579
602,219,19055,3,13,1,12,3,1,3,1,1,1,12,6,12,7,12,6,4,51,2,200.658504774886,3,4.19318181818182,1.02272727272727,4.1,.123170625856719
601,217,19056,4,13,2,10,3,1,3,1,1,1,12,8,12,6,12,7,3,51,2,172.080522918819,2,3.17647058823529,2.17241379310345,1.46218487394958,-.842423938077291
1148,209,19057,4,13,1,1,3,4,3,2,3,3,12,11,12,11,12,11,4,51,2,146.330970022242,1,2.15479876160991,1.47368421052632,1.46218487394958, 
1148,209,19058,4,13,1,6,3,1,3,3,2,4,12,6,12,6,12,7,4,51,2,185.095959787795,2,2.15479876160991,1.47368421052632,1.46218487394958,.732309162136868
1148,208,19059,4,13,2,5,1,4,3,9,9,9,12,6,12,7,12,7,4,51,2,121.989912176572,1,2.15479876160991,1.47368421052632,1.46218487394958,-.381755387803802
1148,208,19060,4,13,2,10,3,4,3,9,9,9,12,6,12,8,12,6,4,51,2,145.566489331206,1,2.15479876160991,1.47368421052632,1.46218487394958,.089167463975947
1148,209,19061,4,13,1,1,3,1,3,3,4,4,12,7,12,5,12,7,4,51,2,196.228022669253,3,2.15479876160991,1.47368421052632,1.46218487394958,-1.72004688818022
1148,209,19062,4,13,1,4,2,1,3,1,1,1,12,6,12,6,12,6,4,51,2,168.759224043632,2,2.15479876160991,1.47368421052632,1.46218487394958,.12228860916409
1148,208,19063,4,13,2,9,2,1,3,1,1,9,12,6,12,7,12,5,4,51,2,179.081214295608,2,2.15479876160991,1.47368421052632,1.46218487394958,-.842423938077291
1148,208,19064,4,13,1,2,3,1,3,3,4,4,12,6,12,7,12,7,4,51,2,145.616116947722,1,2.15479876160991,1.47368421052632,1.46218487394958,-.349299611294997
1148,208,19065,4,13,2,11,3,1,3,3,4,4,12,6,12,6,12,7,4,51,2,135.641150106179,1,2.15479876160991,1.47368421052632,1.46218487394958,.546168446067384
